season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20062007,340,STL,2006-11-25,3,0 days 00:19:42.000000000,,,,,0 days 00:00:18.000000000
20062007,710,PHX,2007-01-18,3,0 days 00:18:57.000000000,,0 days 00:19:31.000000000,,0 days 00:00:34.000000000,
20062007,205,WSH,2006-11-06,3,0 days 00:18:50.000000000,0 days 00:19:35.000000000,,0 days 00:00:45.000000000,,
20062007,1230,PHX,2007-04-08,3,0 days 00:19:38.000000000,0 days 00:19:38.000000000,,0 days 00:00:00.000000000,,
20062007,655,WSH,2007-01-11,3,0 days 00:18:53.000000000,,,,,0 days 00:01:07.000000000
20062007,439,FLA,2006-12-10,3,0 days 00:18:40.000000000,,,,,0 days 00:01:20.000000000
20062007,602,PHI,2007-01-04,3,0 days 00:19:14.000000000,0 days 00:19:38.000000000,,0 days 00:00:24.000000000,,
20062007,252,FLA,2006-11-13,3,0 days 00:18:22.000000000,,0 days 00:19:30.000000000,,0 days 00:01:08.000000000,
20062007,481,CBJ,2006-12-16,3,0 days 00:19:10.000000000,,,,,0 days 00:00:50.000000000
20062007,878,ATL,2007-02-17,3,0 days 00:18:50.000000000,,0 days 00:19:17.000000000,,0 days 00:00:27.000000000,
20062007,897,CAR,2007-02-20,3,0 days 00:18:50.000000000,,,,,0 days 00:01:10.000000000
20062007,244,VAN,2006-11-11,3,0 days 00:18:13.000000000,,,,,0 days 00:01:47.000000000
20062007,614,T.B,2007-01-05,3,0 days 00:18:29.000000000,,,,,0 days 00:01:31.000000000
20062007,881,NSH,2007-02-17,3,0 days 00:18:22.000000000,,0 days 00:19:43.000000000,,0 days 00:01:21.000000000,
20062007,706,FLA,2007-01-18,3,0 days 00:19:11.000000000,,,,,0 days 00:00:49.000000000
20062007,356,STL,2006-11-28,3,0 days 00:19:09.000000000,,,,,0 days 00:00:51.000000000
20062007,643,DAL,2007-01-09,3,0 days 00:18:23.000000000,,0 days 00:19:09.000000000,,0 days 00:00:46.000000000,
20062007,1226,CGY,2007-04-07,3,0 days 00:18:59.000000000,,,,,0 days 00:01:01.000000000
20062007,213,COL,2006-11-07,3,0 days 00:18:29.000000000,,,,,0 days 00:01:31.000000000
20062007,9,NSH,2006-10-05,3,0 days 00:17:19.000000000,0 days 00:18:23.000000000,,0 days 00:01:04.000000000,,
20062007,9,NSH,2006-10-05,3,0 days 00:18:46.000000000,,0 days 00:19:05.000000000,,0 days 00:00:19.000000000,
20062007,585,WSH,2007-01-01,3,0 days 00:18:41.000000000,,,,,0 days 00:01:19.000000000
20062007,638,TOR,2007-01-09,3,0 days 00:19:05.000000000,,0 days 00:19:44.000000000,,0 days 00:00:39.000000000,
20062007,287,DAL,2006-11-18,3,0 days 00:19:04.000000000,,0 days 00:19:14.000000000,,0 days 00:00:10.000000000,
20062007,907,CHI,2007-02-21,3,0 days 00:19:01.000000000,,0 days 00:19:22.000000000,,0 days 00:00:21.000000000,
20062007,141,S.J,2006-10-26,3,0 days 00:18:57.000000000,,,,,0 days 00:01:03.000000000
20062007,511,L.A,2006-12-21,3,0 days 00:18:04.000000000,,0 days 00:19:38.000000000,,0 days 00:01:34.000000000,
20062007,842,N.J,2007-02-11,3,0 days 00:18:42.000000000,,,,,0 days 00:01:18.000000000
20062007,395,NSH,2006-12-04,3,0 days 00:19:13.000000000,,,,,0 days 00:00:47.000000000
20062007,1066,T.B,2007-03-16,3,0 days 00:19:14.000000000,,,,,0 days 00:00:46.000000000
20062007,815,PHI,2007-02-07,3,0 days 00:18:15.000000000,,,,,0 days 00:01:45.000000000
20062007,546,S.J,2006-12-26,3,0 days 00:18:44.000000000,,,,,0 days 00:01:16.000000000
20062007,116,PHX,2006-10-21,3,0 days 00:17:47.000000000,,,,,0 days 00:02:13.000000000
20062007,679,NYI,2007-01-15,3,0 days 00:18:52.000000000,,,,,0 days 00:01:08.000000000
20062007,696,BOS,2007-01-17,3,0 days 00:19:09.000000000,,0 days 00:19:18.000000000,,0 days 00:00:09.000000000,
20062007,946,CAR,2007-02-27,3,0 days 00:18:26.000000000,,0 days 00:19:32.000000000,,0 days 00:01:06.000000000,
20062007,1135,T.B,2007-03-27,3,0 days 00:19:02.000000000,,0 days 00:19:09.000000000,,0 days 00:00:07.000000000,
20062007,1135,T.B,2007-03-27,3,0 days 00:19:18.000000000,,0 days 00:19:44.000000000,,0 days 00:00:26.000000000,
20062007,100,PHI,2006-10-20,3,0 days 00:19:00.000000000,,,,,0 days 00:01:00.000000000
20062007,550,PHI,2006-12-27,3,0 days 00:19:04.000000000,,,,,0 days 00:00:56.000000000
20062007,58,VAN,2006-10-13,3,0 days 00:18:35.000000000,,,,,0 days 00:01:25.000000000
20062007,1027,CBJ,2007-03-10,3,0 days 00:19:21.000000000,,,,,0 days 00:00:39.000000000
20062007,507,PIT,2006-12-21,3,0 days 00:18:58.000000000,0 days 00:19:44.000000000,,0 days 00:00:46.000000000,,
20062007,78,L.A,2006-10-16,3,0 days 00:18:31.000000000,,,,,0 days 00:01:29.000000000
20062007,1050,NSH,2007-03-14,3,0 days 00:19:12.000000000,,0 days 00:19:23.000000000,,0 days 00:00:11.000000000,
20062007,435,VAN,2006-12-09,3,0 days 00:18:54.000000000,,0 days 00:19:24.000000000,,0 days 00:00:30.000000000,
20062007,209,DAL,2006-11-06,3,0 days 00:19:34.000000000,,,,,0 days 00:00:26.000000000
20062007,874,NYR,2007-02-17,3,0 days 00:19:28.000000000,,,,,0 days 00:00:32.000000000
20062007,198,CBJ,2006-11-04,3,0 days 00:17:22.000000000,,,,,0 days 00:02:38.000000000
20062007,931,S.J,2007-02-24,3,0 days 00:18:28.000000000,,0 days 00:19:22.000000000,,0 days 00:00:54.000000000,
20062007,1154,NSH,2007-03-29,3,0 days 00:19:46.000000000,,,,,0 days 00:00:14.000000000
20062007,531,EDM,2006-12-23,3,0 days 00:19:30.000000000,,,,,0 days 00:00:30.000000000
20062007,862,DAL,2007-02-14,3,0 days 00:18:47.000000000,,0 days 00:19:27.000000000,,0 days 00:00:40.000000000,
20062007,39,NYR,2006-10-10,3,0 days 00:18:11.000000000,,,,,0 days 00:01:49.000000000
20062007,1011,DAL,2007-03-08,3,0 days 00:18:05.000000000,,0 days 00:18:22.000000000,,0 days 00:00:17.000000000,
20062007,618,OTT,2007-01-06,3,0 days 00:19:18.000000000,,,,,0 days 00:00:42.000000000
20062007,248,MIN,2006-11-12,3,0 days 00:19:52.000000000,,,,,0 days 00:00:08.000000000
20062007,566,NSH,2006-12-29,3,0 days 00:18:58.000000000,,0 days 00:19:23.000000000,,0 days 00:00:25.000000000,
20062007,1103,WSH,2007-03-22,3,0 days 00:19:08.000000000,,,,,0 days 00:00:52.000000000
