season,game_number,team_name,date,pull_period,pull_time,goal_for_time,goal_against_time,game_end_time,goal_for_timedelta,goal_against_timedelta,game_end_timedelta
20182019,3,CGY,2018-10-03,3,0 days 00:17:30.000000000,,0 days 00:19:12.000000000,,,0 days 00:01:42.000000000,
20182019,4,S.J,2018-10-03,3,0 days 00:18:27.000000000,,0 days 00:19:36.000000000,,,0 days 00:01:09.000000000,
20182019,5,BUF,2018-10-04,3,0 days 00:14:57.000000000,,0 days 00:19:48.000000000,,,0 days 00:04:51.000000000,
20182019,6,NYR,2018-10-04,3,0 days 00:18:10.000000000,,0 days 00:18:36.000000000,,,0 days 00:00:26.000000000,
20182019,6,NYR,2018-10-04,3,0 days 00:18:58.500000000,0 days 00:19:25.000000000,,,0 days 00:00:26.500000000,,
20182019,6,NYR,2018-10-04,3,0 days 00:19:35.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:25.000000000
20182019,8,CAR,2018-10-04,3,0 days 00:16:56.000000000,0 days 00:18:25.000000000,,,0 days 00:01:29.000000000,,
20182019,13,MIN,2018-10-04,3,0 days 00:17:59.500000000,,0 days 00:18:07.000000000,,,0 days 00:00:07.500000000,
20182019,13,MIN,2018-10-04,3,0 days 00:19:09.000000000,,0 days 00:19:40.000000000,,,0 days 00:00:31.000000000,
20182019,15,CBJ,2018-10-05,3,0 days 00:19:09.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:50.500000000
20182019,17,NYR,2018-10-06,3,0 days 00:18:18.500000000,,0 days 00:19:58.000000000,,,0 days 00:01:39.500000000,
20182019,18,TOR,2018-10-06,3,0 days 00:19:03.000000000,,0 days 00:19:35.000000000,,,0 days 00:00:32.000000000,
20182019,20,EDM,2018-10-06,3,0 days 00:17:53.500000000,,0 days 00:18:31.000000000,,,0 days 00:00:37.500000000,
20182019,21,NYI,2018-10-06,3,0 days 00:17:53.500000000,,,0 days 00:20:00.000000000,,,0 days 00:02:06.500000000
20182019,25,VGK,2018-10-06,3,0 days 00:18:07.000000000,0 days 00:18:29.000000000,,,0 days 00:00:22.000000000,,
20182019,26,PHI,2018-10-06,3,0 days 00:18:16.000000000,,0 days 00:18:45.000000000,,,0 days 00:00:29.000000000,
20182019,27,ARI,2018-10-06,3,0 days 00:19:22.000000000,,,0 days 00:20:00.000000000,,,0 days 00:00:38.000000000
20182019,28,VAN,2018-10-06,3,0 days 00:17:44.500000000,,0 days 00:18:22.000000000,,,0 days 00:00:37.500000000,
20182019,28,VAN,2018-10-06,3,0 days 00:19:04.000000000,,0 days 00:19:24.000000000,,,0 days 00:00:20.000000000,
20182019,29,NYR,2018-10-07,3,0 days 00:18:41.000000000,,0 days 00:19:29.000000000,,,0 days 00:00:48.000000000,
20182019,30,CHI,2018-10-07,3,0 days 00:17:34.500000000,0 days 00:18:36.000000000,,,0 days 00:01:01.500000000,,
20182019,30,CHI,2018-10-07,3,0 days 00:19:09.500000000,0 days 00:19:31.000000000,,,0 days 00:00:21.500000000,,
20182019,31,DET,2018-10-07,3,0 days 00:18:11.000000000,,0 days 00:19:39.000000000,,,0 days 00:01:28.000000000,
20182019,32,OTT,2018-10-08,3,0 days 00:18:08.000000000,,0 days 00:18:22.000000000,,,0 days 00:00:14.000000000,
20182019,33,S.J,2018-10-08,3,0 days 00:15:25.000000000,,0 days 00:19:04.000000000,,,0 days 00:03:39.000000000,
20182019,34,VGK,2018-10-08,3,0 days 00:17:58.000000000,,,0 days 00:20:00.000000000,,,0 days 00:02:02.000000000
20182019,37,VAN,2018-10-09,3,0 days 00:19:20.500000000,,,0 days 00:20:00.000000000,,,0 days 00:00:39.500000000
20182019,38,COL,2018-10-09,3,0 days 00:17:42.000000000,,0 days 00:18:00.000000000,,,0 days 00:00:18.000000000,
20182019,40,L.A,2018-10-09,3,0 days 00:18:06.000000000,,,0 days 00:20:00.000000000,,,0 days 00:01:54.000000000
20182019,41,DAL,2018-10-09,3,0 days 00:16:15.500000000,,0 days 00:16:40.000000000,,,0 days 00:00:24.500000000,
